Sim,sample_size,Number_conditions,trials,permutations,runtime
1,20,1 condition,80,500,0.66
2,20,1 condition,80,1000,0.97
3,20,1 condition,80,5000,4.32
4,20,1 condition,80,10000,12.79
5,20,1 condition,80,20000,19.39
6,20,1 condition,160,500,0.7
7,20,1 condition,160,1000,1.17
8,20,1 condition,160,5000,5.96
9,20,1 condition,160,10000,11.28
10,20,1 condition,160,20000,22.5
11,20,1 condition,320,500,0.79
12,20,1 condition,320,1000,1.56
13,20,1 condition,320,5000,8.74
14,20,1 condition,320,10000,15.27
15,20,1 condition,320,20000,32.95
16,20,2 conditions,80,500,1.23
17,20,2 conditions,80,1000,3.12
18,20,2 conditions,80,5000,14.76
19,20,2 conditions,80,10000,23.9
20,20,2 conditions,80,20000,49.42
21,20,2 conditions,160,500,1.93
22,20,2 conditions,160,1000,3.15
23,20,2 conditions,160,5000,16.64
24,20,2 conditions,160,10000,28.71
25,20,2 conditions,160,20000,39.42
26,20,2 conditions,320,500,1.64
27,20,2 conditions,320,1000,4.07
28,20,2 conditions,320,5000,13.91
29,20,2 conditions,320,10000,27.94
30,20,2 conditions,320,20000,58.48
31,20,3 conditions,80,500,2.2
32,20,3 conditions,80,1000,3.9
33,20,3 conditions,80,5000,15.95
34,20,3 conditions,80,10000,26.04
35,20,3 conditions,80,20000,66.09
36,20,3 conditions,160,500,2.2
37,20,3 conditions,160,1000,4.79
38,20,3 conditions,160,5000,16.99
39,20,3 conditions,160,10000,35.47
40,20,3 conditions,160,20000,69.31
41,20,3 conditions,320,500,2.99
42,20,3 conditions,320,1000,5.47
43,20,3 conditions,320,5000,22.64
44,20,3 conditions,320,10000,51.92
45,20,3 conditions,320,20000,107.52
46,40,1 condition,80,500,1.14
47,40,1 condition,80,1000,1.98
48,40,1 condition,80,5000,6.78
49,40,1 condition,80,10000,13.59
50,40,1 condition,80,20000,28.17
51,40,1 condition,160,500,1.39
52,40,1 condition,160,1000,2.36
53,40,1 condition,160,5000,10.17
54,40,1 condition,160,10000,18.6
55,40,1 condition,160,20000,33.42
56,40,1 condition,320,500,1.84
57,40,1 condition,320,1000,2.76
58,40,1 condition,320,5000,12.7
59,40,1 condition,320,10000,26.49
60,40,1 condition,320,20000,56.35
61,40,2 conditions,80,500,1.56
62,40,2 conditions,80,1000,3.39
63,40,2 conditions,80,5000,11.69
64,40,2 conditions,80,10000,24.34
65,40,2 conditions,80,20000,44.89
66,40,2 conditions,160,500,2.16
67,40,2 conditions,160,1000,4.45
68,40,2 conditions,160,5000,16.43
69,40,2 conditions,160,10000,32.99
70,40,2 conditions,160,20000,64.87
71,40,2 conditions,320,500,3.81
72,40,2 conditions,320,1000,6.17
73,40,2 conditions,320,5000,23.42
74,40,2 conditions,320,10000,48.64
75,40,2 conditions,320,20000,107.84
76,40,3 conditions,80,500,2.76
77,40,3 conditions,80,1000,5.08
78,40,3 conditions,80,5000,20.84
79,40,3 conditions,80,10000,44.07
80,40,3 conditions,80,20000,84.87
81,40,3 conditions,160,500,3.46
82,40,3 conditions,160,1000,5.9
83,40,3 conditions,160,5000,25.03
84,40,3 conditions,160,10000,47.8
85,40,3 conditions,160,20000,90.34
86,40,3 conditions,320,500,6.54
87,40,3 conditions,320,1000,8.7
88,40,3 conditions,320,5000,34.79
89,40,3 conditions,320,10000,66.23
90,40,3 conditions,320,20000,127.41
91,80,1 condition,80,500,1.26
92,80,1 condition,80,1000,1.67
93,80,1 condition,80,5000,7.33
94,80,1 condition,80,10000,14.28
95,80,1 condition,80,20000,31.62
96,80,1 condition,160,500,1.61
97,80,1 condition,160,1000,2.57
98,80,1 condition,160,5000,11.25
99,80,1 condition,160,10000,26.9
100,80,1 condition,160,20000,38.7
101,80,1 condition,320,500,2.57
102,80,1 condition,320,1000,3.87
103,80,1 condition,320,5000,18.91
104,80,1 condition,320,10000,33.51
105,80,1 condition,320,20000,68.65
106,80,2 conditions,80,500,2.4
107,80,2 conditions,80,1000,3.6
108,80,2 conditions,80,5000,15.07
109,80,2 conditions,80,10000,32.76
110,80,2 conditions,80,20000,60.78
111,80,2 conditions,160,500,3.58
112,80,2 conditions,160,1000,5.69
113,80,2 conditions,160,5000,22
114,80,2 conditions,160,10000,46.82
115,80,2 conditions,160,20000,80.63
116,80,2 conditions,320,500,5.91
117,80,2 conditions,320,1000,9.44
118,80,2 conditions,320,5000,34.99
119,80,2 conditions,320,10000,71.98
120,80,2 conditions,320,20000,157.87
121,80,3 conditions,80,500,4.24
122,80,3 conditions,80,1000,6.6
123,80,3 conditions,80,5000,24.88
124,80,3 conditions,80,10000,47.5
125,80,3 conditions,80,20000,88.42
126,80,3 conditions,160,500,6.6
127,80,3 conditions,160,1000,10.44
128,80,3 conditions,160,5000,37
129,80,3 conditions,160,10000,83.73
130,80,3 conditions,160,20000,162.63
131,80,3 conditions,320,500,17.8
132,80,3 conditions,320,1000,16.28
133,80,3 conditions,320,5000,50.96
134,80,3 conditions,320,10000,91.14
135,80,3 conditions,320,20000,196.59
136,160,1 condition,80,500,2.12
137,160,1 condition,80,1000,3.2
138,160,1 condition,80,5000,12
139,160,1 condition,80,10000,22.01
140,160,1 condition,80,20000,42.71
141,160,1 condition,160,500,3.53
142,160,1 condition,160,1000,4.85
143,160,1 condition,160,5000,17.55
144,160,1 condition,160,10000,33.73
145,160,1 condition,160,20000,56.56
146,160,1 condition,320,500,5.6
147,160,1 condition,320,1000,8.27
148,160,1 condition,320,5000,26.74
149,160,1 condition,320,10000,52.04
150,160,1 condition,320,20000,110.89
151,160,2 conditions,80,500,5.19
152,160,2 conditions,80,1000,6.91
153,160,2 conditions,80,5000,24.35
154,160,2 conditions,80,10000,46.21
155,160,2 conditions,80,20000,81.73
156,160,2 conditions,160,500,8.61
157,160,2 conditions,160,1000,11.6
158,160,2 conditions,160,5000,36.38
159,160,2 conditions,160,10000,63.01
160,160,2 conditions,160,20000,114.46
161,160,2 conditions,320,500,15.32
162,160,2 conditions,320,1000,20.98
163,160,2 conditions,320,5000,57.82
164,160,2 conditions,320,10000,104.9
165,160,2 conditions,320,20000,206.25
166,160,3 conditions,80,500,9.31
167,160,3 conditions,80,1000,11.65
168,160,3 conditions,80,5000,36.99
169,160,3 conditions,80,10000,67.1
170,160,3 conditions,80,20000,120.7
171,160,3 conditions,160,500,16.85
172,160,3 conditions,160,1000,25.4
173,160,3 conditions,160,5000,59.46
174,160,3 conditions,160,10000,96.41
175,160,3 conditions,160,20000,169.96
176,160,3 conditions,320,500,33.56
177,160,3 conditions,320,1000,39.92
178,160,3 conditions,320,5000,88.36
179,160,3 conditions,320,10000,146.89
180,160,3 conditions,320,20000,338.04
181,500,1 condition,80,500,8.31
182,500,1 condition,80,1000,10.35
183,500,1 condition,80,5000,29.31
184,500,1 condition,80,10000,48.92
185,500,1 condition,80,20000,83.29
186,500,1 condition,160,500,15.31
187,500,1 condition,160,1000,22.13
