,Conditions,Sample size,System time
1,1,10,6.46
2,1,20,10.47
3,1,30,14.52
4,1,40,18.97
5,1,50,22.95
6,1,100,43.42
7,1,200,84.17
8,1,500,209.03
9,2,10,13.08
10,2,20,21.09
11,2,30,28.88
12,2,40,37.52
13,2,50,45.88
14,2,100,87.11
15,2,200,169.82
16,2,500,424.69
17,3,10,19.56
18,3,20,31.48
19,3,30,43.93
20,3,40,56.01
21,3,50,67.84
22,3,100,129.73
23,3,200,256.12
24,3,500,648.97
25,4,10,26.21
26,4,20,42.76
27,4,30,58.84
28,4,40,75.47
29,4,50,92.68
30,4,100,175.16
31,4,200,342.47
32,4,500,874.97
33,5,10,32.89
34,5,20,52.68
35,5,30,72.82
36,5,40,93.45
37,5,50,115.08
38,5,100,218.95
39,5,200,432.82
40,5,500,1123.56
41,10,10,66.19
42,10,20,106.72
43,10,30,148.53
44,10,40,189.67
45,10,50,229.06
46,10,100,441.74
47,10,200,886.54
48,10,500,2410.54
